"","CHAM830108","DAYM780101","HUTJ700101","JOND920101","JUKT750101","JUNJ780101","KARP850103","NAKH920101","NAKH920102","NAKH920103","NAKH920104","NAKH920105","NAKH920106","NAKH920107","NAKH920108","NAKH900101","NAKH900102","NAKH900103","NAKH900105","NAKH900107","NAKH900109","NAKH900111","NAKH900112","RACS820105"
"1",0,8.6,29.22,0.077,5.3,685,0.892,8.63,10.88,5.15,5.04,9.9,6.69,5.08,9.36,7.99,3.73,5.74,5.88,5.39,9.25,10.17,6.61,0.88
"2",1,4.9,26.37,0.051,2.6,382,0.901,6.75,6.01,4.38,3.73,0.09,6.65,4.75,0.27,5.86,3.34,1.92,1.54,2.81,3.96,1.21,0.41,0.99
"3",1,4.3,38.3,0.043,3,397,0.93,4.18,5.75,4.81,5.94,0.94,4.49,5.75,2.31,4.33,2.33,5.25,4.38,7.31,3.71,1.36,1.84,1.02
"4",0,5.5,37.09,0.052,3.6,400,0.932,6.24,6.13,5.75,5.26,0.35,4.97,5.96,0.94,5.14,2.23,2.11,1.7,3.07,3.89,1.18,0.59,1.16
"5",1,2.9,50.7,0.02,1.3,241,0.925,1.03,0.69,3.24,2.2,2.55,1.7,2.95,2.56,1.81,2.3,1.03,1.11,0.86,1.07,1.48,0.83,1.14
"6",1,3.9,44.02,0.041,2.4,313,0.885,4.76,4.68,4.45,4.5,0.87,5.39,4.24,1.14,3.98,2.36,2.3,2.3,2.31,3.17,1.57,1.2,0.93
"7",0,6,41.84,0.062,3.3,427,0.933,7.82,9.34,7.05,6.07,0.08,7.76,6.04,0.94,6.1,3,2.63,2.6,2.7,4.8,1.15,1.63,1.01
"8",0,8.4,23.71,0.074,4.8,707,0.923,6.8,7.72,6.38,7.09,8.14,6.32,8.2,6.17,6.91,3.36,5.66,5.29,6.52,8.51,8.87,4.88,0.7
"9",1,2,59.64,0.023,1.4,155,0.894,2.7,2.15,2.69,2.99,0.2,2.11,2.1,0.47,2.17,1.55,2.3,2.33,2.23,1.88,1.07,1.14,1.87
"10",0,4.5,45,0.053,3.1,394,0.872,3.48,1.8,4.4,4.32,15.25,4.51,4.95,13.73,5.48,2.52,9.12,8.78,9.94,6.47,10.91,12.91,1.61
"11",0,7.4,48.03,0.091,4.7,581,0.921,8.44,8.03,8.11,9.88,22.28,8.23,8.03,16.64,9.16,3.4,15.36,16.52,12.64,10.94,16.22,21.66,1.09
"12",1,6.6,57.1,0.059,4.1,575,1.057,6.25,6.11,5.25,6.31,0.16,8.36,4.93,0.58,6.01,3.36,3.2,2.58,4.67,3.5,1.04,1.15,0.83
"13",1,1.7,69.32,0.024,1.1,132,0.804,2.14,3.79,1.6,1.85,1.85,2.46,2.61,3.93,2.5,1.37,5.3,6,3.68,3.14,4.12,7.17,1.71
"14",1,3.6,48.52,0.04,2.3,303,0.914,2.73,2.93,3.52,3.72,6.47,3.59,4.36,10.99,3.83,1.94,6.51,6.58,6.34,6.36,9.6,7.76,1.52
"15",0,5.2,36.13,0.051,2.5,366,0.932,6.28,7.21,5.65,6.22,2.38,5.2,4.84,1.96,4.95,3.18,4.79,5.29,3.62,4.36,2.24,3.51,0.87
"16",0,7,32.4,0.069,4.5,593,0.923,8.53,7.25,8.04,8.05,4.17,7.4,6.41,5.58,6.84,2.83,7.55,7.68,7.24,6.26,5.38,6.84,1.14
"17",0,6.1,35.2,0.059,3.7,490,0.934,4.43,3.51,7.41,5.2,4.33,5.18,5.87,4.68,5.77,2.63,7.51,8.38,5.44,5.66,5.61,8.89,0.96
"18",1,1.3,56.92,0.014,0.8,99,0.803,0.8,0.47,1.68,2.1,2.21,1.06,2.31,2.2,1.34,1.15,2.51,2.89,1.64,2.22,2.67,2.11,1.96
"19",1,3.4,51.73,0.032,2.3,292,0.837,2.54,1.01,3.42,3.32,3.42,2.75,4.55,3.13,3.15,1.76,4.08,3.51,5.42,3.28,2.68,2.57,1.68
"20",0,6.6,40.35,0.066,4.2,553,0.913,5.44,4.57,7,6.19,14.34,5.27,6.07,12.43,6.65,2.53,5.12,4.66,6.18,7.55,11.44,6.3,1.56
