"","CHAM810101","CHAM830104","CHOP780206","CHOP780214","FAUJ880102","FAUJ880107","ISOY800105","ISOY800108","LEVM760103","LEVM760104","MAXF760103","MAXF760104","MAXF760105","PRAM820102","PRAM820103","RACS820102","RACS820106","RACS820107","RACS820109","RACS820113","RICJ880101","RICJ880102","RICJ880103","RICJ880115","TANS770105","TANS770107","TANS770109","WERD780102"
"1",0.52,0,0.7,0.035,0.53,7.3,0.35,0.47,121.9,243.2,0.64,0.17,1.13,0.175,0.687,1.58,0.3,0.4,0,17.05,0.7,0.7,0.5,0.8,0.497,0.289,0.945,0.16
"2",0.68,1,0.34,0.099,0.69,11.1,0.75,0.52,121.4,206.6,0.62,0.76,0.48,0.083,0.59,1.14,0.9,1.2,0,21.25,0.4,0.4,0.4,0.9,0.677,1.38,0.364,-0.2
"3",0.76,1,1.42,0.191,0.58,8,2.12,2.16,117.5,207.1,3.14,2.62,1.11,0.09,0.489,0.77,2.73,1.24,4.14,34.81,1.2,1.2,3.5,1.6,2.072,3.169,1.202,1.03
"4",0.76,1,0.98,0.179,0.59,9.2,2.16,1.15,121.2,215,1.92,1.08,1.18,0.14,0.632,0.98,1.26,1.59,2.15,19.27,1.4,1.4,2.1,0.7,1.498,0.917,1.315,-0.24
"5",0.62,0,0.65,0.117,0.66,14.4,0.5,0.41,113.7,209.4,0.32,0.95,0.38,0.074,0.263,1.04,0.72,2.98,0,28.84,0.6,0.6,0.6,0.4,1.348,1.767,0.932,-0.12
"6",0.68,1,0.75,0.037,0.71,10.6,0.73,0.95,118,205.4,0.8,0.91,0.41,0.093,0.527,1.24,0.97,0.5,0,15.42,1,1,0.4,0.9,0.711,2.372,0.704,-0.55
"7",0.68,1,1.04,0.077,0.72,11.4,0.65,0.64,118.2,213.6,1.01,0.28,1.02,0.135,0.669,1.49,1.33,1.26,0,20.12,1,1,0.4,0.3,0.651,0.285,1.014,-0.45
"8",0,0,1.41,0.19,0,0,2.4,3.03,0,300,0.63,5.02,3.84,0.201,0.67,0.66,3.09,1.89,6.49,38.14,1.6,1.6,1.8,3.9,1.848,4.259,2.355,-0.16
"9",0.7,1,1.22,0.093,0.64,10.2,1.19,0.89,118.2,219.9,2.05,0.57,0.3,0.125,0.594,0.99,1.33,2.71,0,23.07,1.2,1.2,1.1,1.3,1.474,1.061,0.525,-0.18
"10",1.02,1,0.78,0.013,0.96,16.1,0.12,0.62,118.9,217.9,0.92,0.26,0.4,0.1,0.564,1.09,0.45,1.31,0,16.66,0.9,0.9,0.2,0.7,0.471,0.262,0.673,-0.19
"11",0.98,2,0.85,0.036,0.92,10.1,0.58,0.53,118.1,205.6,0.37,0.21,0.65,0.104,0.541,1.21,0.96,0.57,0,10.89,0.9,0.9,0.2,0.7,0.656,0,0.758,-0.44
"12",0.68,1,1.01,0.072,0.78,10.9,0.83,0.98,122,210.9,0.89,1.17,1.13,0.058,0.407,1.27,0.71,0.87,0,16.46,1,1,0.7,1.3,0.932,1.288,0.947,-0.12
"13",0.78,1,0.83,0.014,0.77,10.4,0.22,0.68,113.1,204,1.07,0,0,0.054,0.328,1.41,1.89,0,0,20.61,0.3,0.3,0.8,0.8,0.425,0,1.028,-0.79
"14",0.7,1,0.93,0.065,0.71,13.9,0.89,0.61,118.2,203.7,0.86,0.28,0.45,0.104,0.577,1,1.2,1.27,2.11,16.26,1.2,1.2,0.2,0.5,1.348,0.393,0.622,-0.25
"15",0.36,0,1.1,0.034,0,17.8,0.43,0.63,81.9,237.4,0.5,0.12,0,0.136,0.6,1.46,0.83,0.38,1.99,23.94,0.7,0.7,0.8,0.7,0.179,0,0.579,-0.59
"16",0.53,0,1.55,0.125,0.55,13.1,1.24,1.03,117.9,232,1.01,0.57,0.81,0.155,0.692,1.05,1.16,0.92,0,19.95,1.6,1.6,2.3,0.8,1.151,0.16,1.14,-0.01
"17",0.5,0,1.09,0.065,0.63,16.7,0.85,0.39,117.1,226.7,0.92,0.23,0.71,0.152,0.713,0.87,0.97,1.38,1.24,18.92,0.3,0.3,1.6,0.3,0.749,0.218,0.863,0.05
"18",0.7,1,0.62,0.064,0.84,13.2,0.62,0.63,118.4,203.7,1,0,0.93,0.092,0.632,1.23,1.58,1.53,0,23.36,1.1,1.1,0.3,0,1.283,0,0.777,-0.33
"19",0.7,1,0.99,0.114,0.71,13.9,1.44,0.83,110,195.6,1.31,0.97,0.38,0.081,0.495,0.68,0.86,1.79,1.9,26.49,1.9,1.9,0.8,0.8,1.283,0.654,0.907,-0.42
"20",0.76,0,0.75,0.028,0.89,17.2,0.43,0.76,121.7,220.3,0.87,0.24,0.48,0.096,0.529,0.88,0.64,0.95,0,17.06,0.7,0.7,0.1,0.2,0.654,0.167,0.561,-0.46
