"","ANDN920101","BIGC670101","BULH740102","BUNA790102","CHAM830103","CHAM830105","CHAM830106","CHAM820101","CHOC750101","CHOC760101","COHE430101","DAWD720101","DAYM780201","FASG760101","FAUJ880101","FAUJ880103","FAUJ880104","FAUJ880105","FAUJ880106","GARJ730101","GOLD730102","GRAR740103","HUTJ700102","HUTJ700103","JOND920102","KRIW790103","LEVM760102","LEVM760105","LEVM760106","LEVM760107","MCMT640101","OOBM770102","OOBM770104","OOBM770105","OOBM850102","QIAN880123","QIAN880124","QIAN880125","RADA880103","RADA880106","ROSG850101","SNEP660103","WEBA780101","WOLS870102","ZASB820101","ZIMJ680102"
"1",4.35,52.6,0.691,4.349,0,0,0,0.046,91.5,115,0.75,2.5,100,89.09,1.28,1,2.87,1.52,2.04,0.28,88.3,31,30.88,154.33,100,27.5,0.77,0.77,5.2,0.025,4.34,-1.404,-9.475,-7.02,1.34,-0.44,-0.31,-0.02,0.13,93.7,86.6,-0.11,0.89,-1.73,-0.152,11.5
"2",4.38,109.1,0.728,4.396,1,1,5,0.291,202,225,0.7,7.5,65,174.2,2.34,6.13,7.82,1.52,6.24,0.1,181.2,124,68.43,341.01,83,105,3.72,2.38,6,0.2,26.66,-0.921,-16.225,-10.131,0.95,-0.13,-0.1,0.04,-5,250.4,162.2,0.079,0.88,2.52,-0.089,14.28
"3",4.75,75.7,0.596,4.755,1,0,2,0.134,135.2,160,0.61,5,134,132.12,1.6,2.95,4.58,1.52,4.37,0.25,125.1,56,41.7,207.9,104,58.7,1.98,1.45,5,0.1,13.28,-1.178,-12.48,-9.424,2.49,0.05,0.06,0.03,-3.04,146.3,103.3,-0.136,0.89,1.45,-0.203,12.82
"4",4.76,68.4,0.558,4.765,1,0,2,0.105,124.5,150,0.6,2.5,106,133.1,1.6,2.78,4.74,1.52,3.78,0.21,110.8,54,40.66,194.91,86,40,1.99,1.43,5,0.1,12,-1.162,-12.144,-9.296,3.32,-0.2,0.13,0.11,-2.23,142.6,97.8,-0.285,0.87,1.13,-0.355,11.68
"5",4.65,68.3,0.624,4.686,1,0,1,0.128,117.7,135,0.61,3,20,121.15,1.77,2.43,4.47,1.52,3.41,0.28,112.4,55,53.83,219.79,44,44.6,1.38,1.22,6.1,0.1,35.77,-1.365,-12.21,-8.19,1.07,0.13,-0.11,-0.02,-2.52,135.2,132.3,-0.184,0.85,-0.97,0,13.46
"6",4.37,89.7,0.649,4.373,1,1,3,0.18,161.1,180,0.67,6,93,146.15,1.56,3.95,6.11,1.52,3.53,0.35,148.7,85,46.62,235.51,84,80.7,2.58,1.75,6,0.1,17.56,-1.116,-13.689,-10.044,1.49,-0.58,-0.47,-0.17,-3.84,177.7,119.2,-0.067,0.82,0.53,-0.181,14.45
"7",4.29,84.7,0.632,4.295,1,1,3,0.151,155.1,190,0.66,5,102,147.13,1.56,3.78,5.97,1.52,3.31,0.33,140.5,83,44.98,223.16,77,62,2.63,1.77,6,0.1,17.26,-1.163,-13.815,-10.467,2.2,-0.28,-0.05,0.1,-3.43,182.9,113.9,-0.246,0.84,0.39,-0.411,13.57
"8",3.97,36.3,0.592,3.972,0,0,0,0,66.4,75,0.64,0.5,49,75.07,0,0,2.06,1,1,0.17,60,3,24.74,127.9,50,0,0,0.58,4.2,0.025,0,-1.364,-7.592,-5.456,2.07,0.08,0.45,0.38,1.45,52.6,62.9,-0.073,0.92,-5.36,-0.19,3.4
"9",4.63,91.9,0.646,4.63,1,1,3,0.23,167.3,195,0.67,6,66,155.16,2.99,4.66,5.23,1.52,5.66,0.21,152.6,96,65.99,242.54,91,79,2.76,1.78,6,0.1,21.81,-1.215,-17.55,-12.15,1.27,0.09,-0.06,-0.09,-5.61,188.1,155.8,0.32,0.83,1.74,0,13.69
"10",3.95,102,0.809,4.224,2,0,2,0.186,168.8,175,0.9,5.5,96,131.17,4.19,4,4.92,1.9,3.49,0.82,168.5,111,49.71,233.21,103,93.5,1.83,1.56,7,0.19,19.06,-1.189,-15.608,-9.512,0.66,-0.04,-0.25,-0.48,-2.77,182.2,158,0.001,0.76,-1.68,-0.086,21.4
"11",4.17,102,0.842,4.385,1,0,2,0.186,167.9,170,0.9,5.5,40,131.17,2.59,4,4.92,1.52,4.45,1,168.5,111,50.62,232.3,54,93.5,2.08,1.54,7,0.19,18.78,-1.315,-15.728,-10.52,0.54,-0.12,-0.44,-0.26,-2.64,173.7,164.1,-0.008,0.73,-1.03,-0.102,21.4
"12",4.36,105.1,0.767,4.358,1,1,4,0.219,171.3,200,0.82,7,56,146.19,1.89,4.77,6.89,1.52,4.87,0.09,175.6,119,63.21,300.46,72,100,2.94,2.08,6,0.2,21.29,-1.074,-12.366,-9.666,0.61,-0.33,-0.44,-0.39,-3.97,215.2,115.5,0.049,0.97,1.41,-0.062,15.71
"13",4.52,97.7,0.709,4.513,1,1,3,0.221,170.8,185,0.75,6,94,149.21,2.35,4.43,6.36,1.52,4.8,0.74,162.2,105,55.32,202.65,93,94.1,2.34,1.8,6.8,0.19,21.64,-1.303,-15.704,-10.424,0.7,-0.21,-0.28,-0.14,-3.83,197.6,172.9,-0.041,0.74,-0.27,-0.107,16.25
"14",4.66,113.9,0.756,4.663,1,1,4,0.29,203.4,210,0.77,6.5,41,165.19,2.94,5.89,4.62,1.52,6.02,2.18,189,132,51.06,204.74,51,115.5,2.97,1.9,7.1,0.39,29.4,-1.135,-20.504,-12.485,0.8,-0.13,-0.04,-0.03,-3.74,228.6,194.1,0.438,0.52,1.3,0.001,19.8
"15",4.44,73.6,0.73,4.471,0,0,0,0.131,129.3,145,0.76,5.5,56,115.13,2.67,2.72,4.11,1.52,4.31,0.39,122.2,32.5,39.21,179.93,58,41.9,1.42,1.25,6.2,0.17,10.93,-1.236,-11.893,-8.652,2.12,-0.48,-0.29,-0.04,0,0,92.9,-0.016,0.82,0.88,-0.181,17.43
"16",4.5,54.9,0.594,4.498,1,0,1,0.062,99.1,115,0.68,3,120,105.09,1.31,1.6,3.97,1.52,2.7,0.12,88.7,32,35.65,174.06,117,29.3,1.28,1.08,4.9,0.025,6.35,-1.297,-10.518,-7.782,0.94,0.27,0.34,0.41,-1.66,109.5,85.6,-0.153,0.96,-1.63,-0.203,9.47
"17",4.35,71.2,0.655,4.346,2,0,1,0.108,122.1,140,0.7,5,97,119.12,3.03,2.6,4.11,1.73,3.17,0.21,118.2,61,36.5,205.8,107,51.3,1.43,1.24,5,0.1,11.01,-1.252,-12.369,-8.764,1.09,0.47,0.27,0.36,-2.31,142.1,106.5,-0.208,0.92,-2.09,-0.17,15.77
"18",4.7,135.4,0.743,4.702,1,1.5,5,0.409,237.6,255,0.74,7,18,204.24,3.21,8.08,7.68,1.52,5.9,5.7,227,170,60,237.01,25,145.5,3.58,2.21,7.6,0.56,42.53,-1.03,-26.166,-14.42,-4.65,-0.22,-0.08,-0.01,-8.21,271.6,224.6,0.493,0.2,3.65,0.275,21.67
"19",4.6,116.2,0.743,4.604,1,1,5,0.298,203.6,230,0.71,7,41,181.19,2.94,6.47,4.73,1.52,6.72,1.26,193,136,51.15,229.15,50,117.3,3.36,2.13,7.1,0.39,31.53,-1.03,-20.232,-12.36,-0.17,-0.11,0.06,-0.08,-5.97,239.9,177.7,0.381,0.49,2.32,0,18.03
"20",3.95,85.1,0.777,4.184,2,0,1,0.14,141.7,155,0.86,5,74,117.15,3.67,3,4.11,1.9,3.17,0.6,141.4,84,42.75,207.6,98,71.5,1.49,1.29,6.4,0.15,13.92,-1.254,-13.867,-8.778,1.32,0.06,0.11,-0.18,-2.05,157.2,141,-0.155,0.85,-2.53,-0.125,21.57
